,F1,aps,context,expID,method,samples,system,thres,wo_length
227,0.008021390374331552,,pathfinder,37,invite,56,aircraft,,2
228,0.7692307692307693,0.47424963924963925,supervised,38,cosine,56,bicycle,0.2814892041993309,2
229,0.7142857142857143,,unsupervised,38,cosine,56,bicycle,0.18181818181818185,2
230,0.8888888888888888,,pathfinder,38,cosine,56,bicycle,,2
231,0.37037037037037035,0.17178183887921755,supervised,38,invite,56,bicycle,0.04959587054338882,2
232,0.0,,unsupervised,38,invite,56,bicycle,0.23232323232323232,2
233,0.1111111111111111,,pathfinder,38,invite,56,bicycle,,2
234,0.6440677966101696,0.4193123129393177,supervised,39,cosine,56,drivetrain,0.57876935513695,3
235,0.34782608695652173,,unsupervised,39,cosine,56,drivetrain,0.016666666666666666,3
236,0.7999999999999999,,pathfinder,39,cosine,56,drivetrain,,3
237,0.8705882352941177,0.8697535481163048,supervised,39,invite,56,drivetrain,0.028966699417753212,3
238,0.7671232876712328,,unsupervised,39,invite,56,drivetrain,0.05555555555555556,3
239,0.7222222222222222,,pathfinder,39,invite,56,drivetrain,,3
240,0.11944577161968466,0.05070179670960852,supervised,40,cosine,56,aircraft,0.12499999999999997,3
241,0.11680229775011967,,unsupervised,40,cosine,56,aircraft,0.12500711116167937,3
242,0.12184873949579833,,pathfinder,40,cosine,56,aircraft,,3
243,0.06061583104949218,0.05963448917625945,supervised,40,invite,56,aircraft,0.005887699666188782,3
244,0.05820977484898408,,unsupervised,40,invite,56,aircraft,0.0094791785186028,3
245,0.07219251336898395,,pathfinder,40,invite,56,aircraft,,3
246,0.6666666666666666,0.41500305250305247,supervised,41,cosine,56,bicycle,0.5324954153153388,3
247,0.5128205128205129,,unsupervised,41,cosine,56,bicycle,0.20202020202020202,3
248,0.8888888888888888,,pathfinder,41,cosine,56,bicycle,,3
249,1.0,1.0000000000000002,supervised,41,invite,56,bicycle,0.027649372359959352,3
250,1.0,,unsupervised,41,invite,56,bicycle,0.020202020202020204,3
251,1.0,,pathfinder,41,invite,56,bicycle,,3
252,0.6017699115044247,0.36034210669924077,supervised,42,cosine,56,drivetrain,0.84370865770679,4
253,0.3605150214592274,,unsupervised,42,cosine,56,drivetrain,0.11666666666666667,4
254,0.7777777777777778,,pathfinder,42,cosine,56,drivetrain,,4
255,0.975609756097561,0.9718568665377177,supervised,42,invite,56,drivetrain,0.04254624011841291,4
256,0.9302325581395349,,unsupervised,42,invite,56,drivetrain,0.01388888888888889,4
257,0.8888888888888888,,pathfinder,42,invite,56,drivetrain,,4
258,0.1791153009427121,0.06884991178930891,supervised,43,cosine,56,aircraft,0.0408248290463863,4
259,0.1791153009427121,,unsupervised,43,cosine,56,aircraft,0.03727670952326772,4
260,0.15414258188824662,,pathfinder,43,cosine,56,aircraft,,4
261,0.11194029850746269,0.08717966299207174,supervised,43,invite,56,aircraft,0.023885684378767282,4
262,0.11191047162270183,,unsupervised,43,invite,56,aircraft,0.00922317669814541,4
263,0.13636363636363635,,pathfinder,43,invite,56,aircraft,,4
264,0.6153846153846154,0.3942895067895068,supervised,44,cosine,56,bicycle,0.8950532559585651,4
265,0.5000000000000001,,unsupervised,44,cosine,56,bicycle,0.7878787878787878,4
266,0.8888888888888888,,pathfinder,44,cosine,56,bicycle,,4
267,0.975609756097561,0.9976190476190478,supervised,44,invite,56,bicycle,0.0563881300279179,4
268,0.975609756097561,,unsupervised,44,invite,56,bicycle,0.0202020202020202,4
269,0.8888888888888888,,pathfinder,44,invite,56,bicycle,,4
270,0.5874125874125874,0.3331813982408988,supervised,45,cosine,56,drivetrain,0.8136996482595963,5
271,0.298932384341637,,unsupervised,45,cosine,56,drivetrain,0.12222222222222223,5
272,0.5,,pathfinder,45,cosine,56,drivetrain,,5
273,0.9761904761904762,0.9904241997653883,supervised,45,invite,56,drivetrain,0.08031913982972476,5
274,0.9111111111111111,,unsupervised,45,invite,56,drivetrain,0.022222222222222223,5
275,0.8888888888888888,,pathfinder,45,invite,56,drivetrain,,5
276,0.24178935447338618,0.09233382098513288,supervised,46,cosine,56,aircraft,0.07001400420140048,5
277,0.23967168262653898,,unsupervised,46,cosine,56,aircraft,0.01497610649675731,5
278,0.11615245009074408,,pathfinder,46,cosine,56,aircraft,,5
